display_name,year,url,format,county,title
ALB-CN-1860,1860,"","1860CensusFormat.md","ALB","1860 Census"
ALB-CN-1870,1870,"https://docs.google.com/spreadsheets/d/1BvrDE7-hJ-qUnTlZXw4fX1AcphGtdYjr9opJy2d-5Hg/export?format=csv","1870CensusFormat.md","ALB","1870 Census"
ALB-CN-1880,1880,"https://docs.google.com/spreadsheets/d/1K9DA3aoXkU_Yicts8Umtr92N9Hug3cdeTHcUN1gDf4E/export?format=csv","1880CensusFormat.md","ALB","1880 Census"
ALB-FG,1600,"https://docs.google.com/spreadsheets/d/1zU5MIzmXrO6dDoxBu0VaE1Wc1Ihwh56BIJhSCPPxqT4/export?format=csv","FindAGraveFormat.md","ALB","Find A Grave"
ALB-FL,1865,"https://docs.google.com/spreadsheets/d/1tK11JhWHcsSSh5YNsxVJWnUwgJ2mn99FJyBo95vcXt8/export?format=csv","FreedmansListFormat.md","ALB","Freemans Records"
ALB-VR,1715,"https://docs.google.com/spreadsheets/d/1jeJ_oBYrJVwSCEnkb26Cixy50SD0ghWqFLyCr2MciSQ/export?format=csv","VitalRecordsFormat.md","ALB","Vital Records"
ALB-FBR,1800,"https://docs.google.com/spreadsheets/d/1BLkM18o7wF30uoV8j9gerlM9AGro1ucZAwjjBNNswa0/export?format=csv","FreeBlackRegisterFormat.md","ALB","Free Black Register"
ALB-SS-1850,1850,"https://docs.google.com/spreadsheets/d/1Jf2zsFW_sh-QVmwhJUD8SNamu-kflhqPONJky04_zmg/export?format=csv","SlaveScheduleFormat.md","ALB","1850 Slave Schedule"
ALB-SS-1860,1860,"https://docs.google.com/spreadsheets/d/1c4Dn747B-rRbK8_x0H78XmddksnGECLLj_xuaP_6zg8/export?format=csv","SlaveScheduleFormat.md","ALB","1860 Slave Schedule"
ALB-CH,1851,"https://docs.google.com/spreadsheets/d/1f9A99ZuJHJt8zCakNgLdniIOpiYkf1uIAKmnaJ4Ax40/export?format=csv","ChurchFormat.md","ALB","Church Records"

AUG-CN-1860,1860,"","1860CensusFormat.md","AUG","1860 Census"
AUG-CN-1870,1870,"https://docs.google.com/spreadsheets/d/1-pJ3MrWWEnPyrSNE8QxVi-EfxyO-oLhlwMudygU3HG8/export?format=csv","1870CensusFormat.md","AUG","1870 Census"
AUG-CN-1880,1880,"https://docs.google.com/spreadsheets/d/1W4Z4mu9LqnrxUhpAi5r2nxJgNFW2HLUhMbAohDzR7Qo/export?format=csv","1880CensusFormat.md","AUG","1880 Census"
AUG-FG,1600,"https://docs.google.com/spreadsheets/d/1ukxS6aH0hYn3OQEpxPsj_mhx80axKrrcIDBKIZTikbw/export?format=csv","FindAGraveFormat.md","AUG","Find A Grave"
AUG-FBR,1800,"https://docs.google.com/spreadsheets/d/1B-zhDj1VOJvXQEbw0YkkqIhwGsDd06iwt-sA_b7C0rc/export?format=csv","FreeBlackRegisterFormat.md","AUG","Free Black Register"
AUG-SS-1850,1850,"https://docs.google.com/spreadsheets/d/1LTthwFxNOt3HLCdOg7ov8UE8IBUp-630PjI7E80CHbA/export?format=csv","SlaveScheduleFormat.md","AUG","1850 Slave Schedule"
AUG-SS-1860,1860,"https://docs.google.com/spreadsheets/d/1hyasPfQBaYhyAnjX6BupJbTopak9T0puqUSvEWVXn1M/export?format=csv","SlaveScheduleFormat.md","AUG","1860 Slave Schedule"
AUG-CH,1851,"https://docs.google.com/spreadsheets/d/1SEcTFIWiHgFS4G-lMuv0oE0EyWBExqC3FPoMrbTQ99A/export?format=csv","ChurchFormat.md","AUG","Church Records"
AUG-SB,1853,"https://docs.google.com/spreadsheets/d/1qyowsVe171KUJgJId636dXtBW4i4VeDNcrRMpaygYWE/export?format=csv","SlaveBirthFormat.md","AUG","Slave Births"
AUG-CC,1866,"https://docs.google.com/spreadsheets/d/1-s92vkRZknCm6EohYFp5smiWlGBH7joDOxQDsu1_IYI/export?format=csv","CohabChildFormat.md","AUG","Cohabitation Children"
